-112.49	-4.368	-128.239	47.631	-64.432	55.726
-112.459	-4.384	-128.196	47.582	-64.512	55.903
-112.421	-4.396	-128.142	47.523	-64.604	56.109
-112.381	-4.416	-128.083	47.452	-64.711	56.353
-112.327	-4.445	-128.016	47.369	-64.832	56.634
-112.262	-4.474	-127.938	47.275	-64.971	56.952
-112.195	-4.509	-127.85	47.166	-65.116	57.297
-112.123	-4.544	-127.755	47.044	-65.272	57.663
-112.057	-4.581	-127.66	46.912	-65.429	58.039
-111.991	-4.62	-127.554	46.77	-65.588	58.422
-111.926	-4.651	-127.451	46.62	-65.747	58.812
-111.864	-4.691	-127.346	46.462	-65.902	59.204
-111.805	-4.732	-127.232	46.299	-66.053	59.601
-111.75	-4.769	-127.121	46.127	-66.203	59.992
-111.698	-4.807	-127.013	45.954	-66.347	60.371
-111.658	-4.84	-126.901	45.79	-66.479	60.731
-111.617	-4.877	-126.804	45.63	-66.598	61.068
-111.578	-4.913	-126.715	45.484	-66.711	61.374
-111.548	-4.939	-126.632	45.351	-66.804	61.647
-111.52	-4.965	-126.559	45.234	-66.886	61.881
-111.504	-4.983	-126.498	45.136	-66.954	62.083
-111.485	-4.995	-126.447	45.046	-67.009	62.245
-111.469	-5.016	-126.396	44.962	-67.047	62.38
-111.466	-5.039	-126.348	44.869	-67.07	62.488
-111.468	-5.059	-126.298	44.777	-67.075	62.578
-111.473	-5.086	-126.249	44.681	-67.073	62.652
-111.485	-5.108	-126.196	44.569	-67.063	62.716
-111.507	-5.133	-126.137	44.448	-67.043	62.777
-111.542	-5.168	-126.072	44.309	-67.008	62.843
-111.572	-5.208	-125.996	44.154	-66.981	62.919
-111.61	-5.252	-125.914	43.982	-66.938	62.998
-111.65	-5.298	-125.827	43.794	-66.896	63.074
-111.692	-5.343	-125.736	43.607	-66.844	63.146
-111.73	-5.385	-125.654	43.419	-66.796	63.207
-111.763	-5.424	-125.575	43.238	-66.745	63.261
-111.796	-5.464	-125.495	43.061	-66.688	63.307
-111.831	-5.502	-125.418	42.892	-66.628	63.334
-111.859	-5.532	-125.351	42.722	-66.573	63.357
-111.892	-5.568	-125.284	42.557	-66.514	63.373
-111.916	-5.601	-125.22	42.398	-66.453	63.377
-111.942	-5.631	-125.161	42.259	-66.393	63.374
-111.961	-5.653	-125.112	42.141	-66.338	63.366
-111.975	-5.672	-125.07	42.031	-66.297	63.352
-111.996	-5.685	-125.039	41.941	-66.254	63.341
-112.012	-5.691	-125.006	41.859	-66.226	63.336
-112.016	-5.696	-124.982	41.783	-66.189	63.336
-112.021	-5.705	-124.952	41.712	-66.169	63.338
-112.025	-5.714	-124.934	41.651	-66.149	63.351
-112.029	-5.725	-124.912	41.592	-66.128	63.372
-112.033	-5.731	-124.897	41.539	-66.116	63.394
-112.036	-5.731	-124.887	41.491	-66.109	63.416
-112.038	-5.731	-124.873	41.436	-66.101	63.452
-112.038	-5.731	-124.853	41.365	-66.092	63.488
-112.038	-5.73	-124.83	41.285	-66.08	63.542
-112.037	-5.73	-124.807	41.197	-66.068	63.592
-112.036	-5.728	-124.776	41.097	-66.058	63.648
-112.033	-5.723	-124.751	40.994	-66.054	63.712
-112.025	-5.718	-124.716	40.887	-66.053	63.779
-112.014	-5.708	-124.688	40.769	-66.053	63.849
-112.005	-5.696	-124.649	40.651	-66.056	63.922
-111.999	-5.683	-124.609	40.524	-66.064	63.999
-111.99	-5.679	-124.569	40.393	-66.077	64.077
-111.976	-5.677	-124.527	40.266	-66.091	64.154
-111.954	-5.672	-124.493	40.157	-66.101	64.224
-111.938	-5.669	-124.463	40.056	-66.108	64.29
-111.929	-5.664	-124.432	39.962	-66.116	64.346
-111.92	-5.656	-124.406	39.876	-66.124	64.393
-111.907	-5.646	-124.38	39.788	-66.133	64.443
-111.892	-5.631	-124.352	39.699	-66.143	64.489
-111.884	-5.62	-124.329	39.61	-66.151	64.523
-111.878	-5.614	-124.301	39.519	-66.157	64.564
-111.872	-5.606	-124.283	39.434	-66.16	64.593
-111.861	-5.598	-124.256	39.344	-66.163	64.627
-111.842	-5.582	-124.23	39.238	-66.165	64.663
-111.823	-5.561	-124.2	39.12	-66.167	64.699
-111.812	-5.545	-124.168	38.989	-66.169	64.742
-111.799	-5.529	-124.137	38.849	-66.171	64.785
-111.778	-5.503	-124.106	38.713	-66.171	64.819
-111.759	-5.484	-124.072	38.576	-66.171	64.862
-111.747	-5.466	-124.041	38.441	-66.171	64.891
-111.729	-5.441	-124.008	38.301	-66.169	64.925
-111.71	-5.421	-123.983	38.162	-66.168	64.954
-111.701	-5.396	-123.955	38.025	-66.164	64.978
-111.693	-5.367	-123.929	37.889	-66.156	65.01
-111.68	-5.345	-123.906	37.756	-66.148	65.029
-111.661	-5.32	-123.884	37.648	-66.141	65.043
-111.644	-5.304	-123.87	37.552	-66.134	65.061
-111.635	-5.29	-123.852	37.458	-66.129	65.081
-111.624	-5.271	-123.834	37.372	-66.126	65.093
-111.606	-5.259	-123.821	37.291	-66.123	65.102
-111.588	-5.252	-123.809	37.21	-66.121	65.11
-111.579	-5.241	-123.792	37.134	-66.119	65.118
-111.568	-5.224	-123.775	37.059	-66.118	65.127
-111.549	-5.205	-123.763	36.99	-66.117	65.136
-111.527	-5.196	-123.75	36.915	-66.117	65.144
-111.513	-5.189	-123.732	36.836	-66.116	65.152
-111.491	-5.175	-123.712	36.746	-66.114	65.158
-111.459	-5.15	-123.699	36.646	-66.112	65.161
-111.429	-5.131	-123.686	36.552	-66.108	65.163
-111.4	-5.113	-123.672	36.459	-66.102	65.163
-111.384	-5.085	-123.661	36.368	-66.094	65.162
-111.359	-5.065	-123.655	36.278	-66.082	65.159
-111.339	-5.039	-123.651	36.192	-66.066	65.152
-111.322	-5.006	-123.649	36.109	-66.047	65.139
-111.297	-4.971	-123.649	36.031	-66.033	65.123
-111.277	-4.939	-123.649	35.954	-66.02	65.107
-111.262	-4.908	-123.652	35.886	-66.002	65.096
-111.24	-4.882	-123.655	35.831	-65.98	65.083
-111.228	-4.854	-123.661	35.778	-65.964	65.067
-111.224	-4.828	-123.665	35.729	-65.948	65.046
-111.222	-4.8	-123.671	35.681	-65.921	65.029
-111.221	-4.776	-123.676	35.635	-65.884	65.013
-111.222	-4.761	-123.682	35.583	-65.851	64.988
-111.223	-4.74	-123.686	35.534	-65.801	64.953
-111.226	-4.72	-123.691	35.494	-65.744	64.928
-111.232	-4.704	-123.695	35.442	-65.688	64.888
-111.241	-4.68	-123.7	35.389	-65.621	64.853
-111.254	-4.655	-123.705	35.34	-65.541	64.801
-111.28	-4.627	-123.714	35.274	-65.45	64.758
-111.314	-4.591	-123.728	35.216	-65.352	64.713
-111.352	-4.55	-123.755	35.16	-65.242	64.67
-111.392	-4.5	-123.784	35.122	-65.114	64.643
-111.439	-4.432	-123.828	35.079	-64.966	64.619
-111.498	-4.351	-123.883	35.054	-64.787	64.597
-111.578	-4.249	-123.958	35.027	-64.579	64.589
-111.667	-4.128	-124.051	35.012	-64.327	64.589
-111.772	-3.979	-124.169	35.007	-64.037	64.596
-111.891	-3.805	-124.299	35.007	-63.711	64.615
-112.025	-3.611	-124.448	35.011	-63.351	64.647
-112.169	-3.41	-124.605	35.018	-62.971	64.671
-112.317	-3.198	-124.77	35.027	-62.575	64.707
-112.468	-2.982	-124.933	35.037	-62.175	64.742
-112.61	-2.761	-125.095	35.042	-61.776	64.781
-112.751	-2.541	-125.247	35.042	-61.387	64.818
-112.88	-2.323	-125.39	35.032	-61.017	64.867
-112.995	-2.104	-125.511	35.011	-60.669	64.908
-113.095	-1.891	-125.625	34.987	-60.351	64.962
-113.173	-1.672	-125.716	34.943	-60.051	65.022
-113.235	-1.439	-125.795	34.886	-59.76	65.087
-113.291	-1.193	-125.866	34.817	-59.472	65.167
-113.343	-0.924	-125.927	34.736	-59.179	65.254
-113.386	-0.631	-125.978	34.637	-58.879	65.352
-113.423	-0.319	-126.029	34.536	-58.569	65.466
-113.462	0.014	-126.077	34.421	-58.244	65.588
-113.502	0.364	-126.119	34.304	-57.903	65.719
-113.535	0.733	-126.165	34.179	-57.55	65.864
-113.571	1.116	-126.211	34.051	-57.179	66.016
-113.611	1.504	-126.256	33.921	-56.799	66.172
-113.647	1.901	-126.297	33.792	-56.414	66.336
-113.687	2.296	-126.339	33.664	-56.031	66.512
-113.723	2.683	-126.384	33.558	-55.657	66.699
-113.754	3.055	-126.425	33.464	-55.298	66.906
-113.789	3.414	-126.467	33.391	-54.96	67.143
-113.814	3.749	-126.509	33.353	-54.65	67.413
-113.836	4.064	-126.553	33.343	-54.371	67.721
-113.854	4.352	-126.602	33.372	-54.136	68.077
-113.859	4.608	-126.655	33.452	-53.943	68.487
-113.859	4.83	-126.713	33.581	-53.804	68.955
-113.857	5.018	-126.78	33.772	-53.723	69.486
-113.849	5.164	-126.844	34.012	-53.697	70.078
-113.833	5.281	-126.916	34.298	-53.719	70.723
-113.803	5.373	-126.994	34.622	-53.792	71.416
-113.763	5.437	-127.074	34.979	-53.908	72.148
-113.714	5.477	-127.152	35.357	-54.058	72.912
-113.661	5.502	-127.228	35.755	-54.242	73.702
-113.605	5.513	-127.307	36.162	-54.444	74.511
-113.547	5.516	-127.387	36.576	-54.668	75.33
-113.485	5.515	-127.458	36.991	-54.902	76.154
-113.426	5.514	-127.528	37.402	-55.143	76.979
-113.36	5.508	-127.595	37.806	-55.387	77.804
-113.297	5.499	-127.665	38.204	-55.635	78.624
-113.235	5.487	-127.729	38.593	-55.884	79.441
-113.17	5.477	-127.792	38.971	-56.134	80.252
